StockCode,Description,Price
10002,INFLATABLE POLITICAL GLOBE ,0.85
10002,INFLATABLE POLITICAL GLOBE ,1.66
10002,INFLATABLE POLITICAL GLOBE ,1.63
10002,,0
10080,GROOVY CACTUS INFLATABLE,0.85
10080,GROOVY CACTUS INFLATABLE,0.39
10080,,0
10080,check,0
10120,DOGGY RUBBER,0.21
10123C,HEARTS WRAPPING TAPE ,0.65
10123C,,0
10123G,,0
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,0.42
10125,MINI FUNKY DESIGN TAPES,0.85
10125,MINI FUNKY DESIGN TAPES,1.66
10125,MINI FUNKY DESIGN TAPES,0.42
10125,MINI FUNKY DESIGN TAPES,0.81
10125,MINI FUNKY DESIGN TAPES,0.79
10125,MINI FUNKY DESIGN TAPES,1.63
10133,COLOURING PENCILS BROWN TUBE,0.85
10133,COLOURING PENCILS BROWN TUBE,1.66
10133,COLOURING PENCILS BROWN TUBE,0.42
10133,COLOURING PENCILS BROWN TUBE,0.81
10133,COLOURING PENCILS BROWN TUBE,0.79
10133,COLOURING PENCILS BROWN TUBE,1.63
10133,COLOURING PENCILS BROWN TUBE,0.83
10133,damaged,0
10134,,0
10135,COLOURING PENCILS BROWN TUBE,2.51
10135,COLOURING PENCILS BROWN TUBE,1.25
10135,COLOURING PENCILS BROWN TUBE,0.42
10135,COLOURING PENCILS BROWN TUBE,1.28
10135,COLOURING PENCILS BROWN TUBE,2.46
10135,COLOURING PENCILS BROWN TUBE,1.06
10135,COLOURING PENCILS BROWN TUBE,0.25
11001,ASSTD DESIGN RACING CAR PEN,3.36
11001,ASSTD DESIGN RACING CAR PEN,1.69
11001,ASSTD DESIGN RACING CAR PEN,3.29
11001,ASSTD DESIGN RACING CAR PEN,0.83
11001,ASSTD DESIGN RACING CAR PEN,1.27
15030,FAN BLACK FRAME ,0.29
15030,,0
15034,PAPER POCKET TRAVELING FAN ,0.14
15034,PAPER POCKET TRAVELING FAN ,0.85
